rank,domain,word1,tld,phrase_count,premium_likely,restricted
571,accessories.online,accessories,online,391814,0,0
572,digital.data,digital,data,391568,1,0
573,discount.online,discount,online,391439,0,0
574,residential.property,residential,property,391378,1,0
575,new.security,new,security,390458,1,0
576,new.art,new,art,389784,0,0
577,camera.phone,camera,phone,389594,1,0
578,customer.review,customer,review,389552,0,0
579,illustrate.how,illustrate,how,389189,1,0
580,general.health,general,health,388891,1,0
581,digital.art,digital,art,388683,0,0
582,holiday.house,holiday,house,388231,0,0
583,theft.auto,theft,auto,387885,1,0
584,equal.protection,equal,protection,387552,1,0
585,interactive.software,interactive,software,386737,0,0
586,provide.financial,provide,financial,386522,0,0
587,share.data,share,data,386220,1,0
588,all.living,all,living,385904,0,0
589,missing.data,missing,data,385373,1,0
590,own.computer,own,computer,385147,0,0
591,thomson.business,thomson,business,385054,0,0
592,now.one,now,one,384929,0,0
593,new.film,new,film,384058,0,0
594,gains.tax,gains,tax,383829,0,0
595,day.gifts,day,gifts,383649,0,0
596,contains.one,contains,one,383163,0,0
597,prior.sale,prior,sale,382388,0,0
598,election.day,election,day,382353,0,0
599,down.one,down,one,382159,0,0
600,tour.guide,tour,guide,381986,0,0
601,speed.data,speed,data,381271,1,0
602,entire.site,entire,site,380750,0,0
603,him.one,him,one,379486,0,0
604,floor.space,floor,space,379370,0,0
605,global.business,global,business,379316,0,0
606,remains.one,remains,one,379293,0,0
607,thin.film,thin,film,379238,0,0
608,nude.men,nude,men,377945,0,0
609,enough.space,enough,space,376836,0,0
610,include.tax,include,tax,375982,0,0
611,best.mortgage,best,mortgage,375939,0,0
612,healthy.living,healthy,living,375431,0,0
613,hardcore.movie,hardcore,movie,375370,1,0
614,examine.how,examine,how,375294,1,0
615,seeking.men,seeking,men,374595,0,0
616,color.photos,color,photos,373845,0,0
617,free.horse,free,horse,373268,0,0
618,online.car,online,car,373074,1,0
619,all.industries,all,industries,373043,0,0
620,yours.today,yours,today,372057,0,0
621,electronic.data,electronic,data,372021,1,0
622,boarding.school,boarding,school,371361,0,0
623,better.business,better,business,371086,0,0
624,tell.how,tell,how,369871,1,0
625,day.auction,day,auction,368706,0,0
626,convenience.store,convenience,store,367652,0,0
627,clear.how,clear,how,367503,1,0
628,records.management,records,management,367448,0,0
629,click.photo,click,photo,367406,0,0
630,copyright.protection,copyright,protection,367355,1,0
631,detached.house,detached,house,367060,0,0
632,critical.data,critical,data,367015,1,0
633,conduct.business,conduct,business,366861,0,0
634,black.ink,black,ink,365761,0,0
635,audio.help,audio,help,365473,0,0
636,purchase.online,purchase,online,364495,0,0
637,online.news,online,news,364339,0,0
638,including.tax,including,tax,364097,0,0
639,existing.systems,existing,systems,364032,0,0
640,good.movie,good,movie,363823,1,0
641,dvd.movie,dvd,movie,363681,1,0
642,flash.game,flash,game,363627,1,0
643,porn.film,porn,film,363434,0,0
644,gay.photo,gay,photo,363302,0,0
645,recent.events,recent,events,362917,0,0
646,year.college,year,college,362867,0,0
647,meta.data,meta,data,362361,1,0
648,ill.health,ill,health,361903,1,0
649,young.black,young,black,361843,0,0
650,natural.science,natural,science,361738,0,0
651,video.video,video,video,361685,0,0
652,advance.loan,advance,loan,360505,0,0
653,naked.gallery,naked,gallery,360304,0,0
654,users.gallery,users,gallery,360220,0,0
655,other.security,other,security,359504,1,0
656,new.family,new,family,357801,0,0
657,spending.money,spending,money,356872,0,0
658,services.online,services,online,356323,0,0
659,bedroom.apartments,bedroom,apartments,355909,0,0
660,recommended.deals,recommended,deals,355862,0,0
661,career.training,career,training,355769,0,0
662,current.one,current,one,355710,0,0
663,garden.furniture,garden,furniture,355539,0,0
664,payday.cash,payday,cash,354707,0,0
665,above.link,above,link,353539,0,0
666,some.food,some,food,353520,1,0
667,rape.video,rape,video,351794,0,0
668,includes.software,includes,software,351684,0,0
669,making.love,making,love,351577,0,0
670,now.living,now,living,351537,0,0
671,childhood.education,childhood,education,351326,0,0
672,use.technology,use,technology,351234,0,0
673,active.site,active,site,351115,0,0
674,first.online,first,online,351033,0,0
675,quality.care,quality,care,350951,0,0
676,communications.systems,communications,systems,350905,0,0
677,active.forum,active,forum,350818,0,0
678,enterprise.software,enterprise,software,350150,0,0
679,enter.zip,enter,zip,350110,1,0
680,main.menu,main,menu,349240,0,0
681,business.online,business,online,348480,0,0
682,each.company,each,company,348466,0,0
683,international.market,international,market,348294,0,0
684,describe.how,describe,how,348221,1,0
685,card.online,card,online,347849,0,0
686,news.site,news,site,347724,0,0
687,analysis.software,analysis,software,347586,0,0
688,ceiling.fan,ceiling,fan,347270,0,0
689,atlanta.business,atlanta,business,347162,0,0
690,higher.degree,higher,degree,346563,0,0
691,continue.shopping,continue,shopping,345008,0,0
692,external.reviews,external,reviews,344617,0,0
693,loans.online,loans,online,344599,0,0
694,professional.career,professional,career,344014,0,0
695,provide.data,provide,data,343714,1,0
696,explore.how,explore,how,343604,1,0
697,muscle.men,muscle,men,343558,0,0
698,saw.one,saw,one,343440,0,0
699,important.work,important,work,343412,0,0
700,related.software,related,software,343229,0,0
701,music.business,music,business,342649,0,0
702,indicate.how,indicate,how,342345,1,0
703,year.career,year,career,341855,0,0
704,two.day,two,day,341118,0,0
705,feed.directory,feed,directory,340762,0,0
